Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60
775000,92-06-16,Long Beach,CA,USA,USA,73,212,2010,1,29,L,Etem,Emerson,LW/RW,ANA,3,0,0,0,0,0,1,-0.7,2,45,1585,26.4,8.8,8.8,19.9,0,20,0.909,1109,2.27,2.27,50,0,0
1700000,92-10-05,Bern,,CHE,CHE,71,192,2011,1,13,L,Baertschi,Sven,LW,VAN,68,18,17,8,9,35,-6,-4,8,1461,64773,1077,15.88,15.87,28.6,67.3,9.9,0.905,1004,2.9,2.73,51.5,3,0.17
1025000,84-02-17,Dover,NJ,USA,USA,74,183,2003,6,186,L,Miller,Drew,LW/RW,DET,55,5,2,1,1,7,-12,-4.8,18,835,33929,551.7,10.28,10.2,18.8,77.8,4.2,0.907,950,0.98,3.26,23.1,-21,-2.28
925000,95-12-05,Orangeville,ON,CAN,CAN,74,232,2014,1,10,L,Ritchie,Nick,LW,ANA,77,14,14,8,6,28,4,9.4,62,1456,59992,999.3,12.98,12.98,25,71.8,7.2,0.932,1004,2.34,1.92,54.9,7,0.42
5400000,83-03-12,Turku,,FIN,FIN,75,215,2001,1,6,L,Koivu,Mikko,C,MIN,80,18,40,14,26,58,27,14.8,34,2012,91753,1528.8,19.12,19.11,31.9,60.4,12.6,0.917,1043,3.77,2.43,60.8,34,1.33
7875000,84-08-31,Livonia,MI,USA,USA,74,202,2003,1,23,R,Kesler,Ryan,C/RW,ANA,82,22,36,23,13,58,8,12.5,83,2258,104814,1744.5,21.3,21.29,35.4,63.7,9.5,0.915,1010,3.13,2.55,55.2,17,0.58
842500,92-12-12,Detroit,MI,USA,USA,69,160,,,,R,Czarnik,Austin,C,BOS,49,5,8,5,3,13,-10,2.7,12,909,38267,636.8,13.02,13.01,22.9,68.4,6,0.913,973,1.79,1.98,47.5,-2,-0.19
2000000,84-01-04,Olomouc,,CZE,CZE,70,190,2002,2,58,L,Hudler,Jiri,RW/LW,DAL,32,3,8,5,3,11,-3,-3.6,4,552,22752,379.3,11.85,11.85,22,78.6,6.9,0.922,991,2.21,2.37,48.3,-1,-0.16
2570000,91-07-23,Novokuznetsk,,RUS,RUS,71,212,2009,2,55,L,Orlov,Dmitry,D,WSH,82,6,27,19,8,33,30,6.5,51,1917,96107,1599.9,19.53,19.53,34.7,38.8,10,0.929,1030,3.19,1.76,64.4,38,1.43
575000,87-01-07,Owen sound,ON,CAN,CAN,72,205,2005,4,95,R,Bass,Cody,C,NSH,9,0,0,0,0,0,-1,-1.8,19,99,3654,60.9,6.77,6.77,13.7,0,0,0.971,971,0,0.99,0,-1,-0.99
1300000,94-05-16,Khabarovsk,,RUS,RUS,75,209,2012,1,12,L,Grigorenko,Mikhail,C,COL,75,10,13,8,5,23,-14,-9.8,18,1432,63401,1056.4,14.08,14.09,24.9,67.6,6.9,0.904,974,1.93,2.95,39.5,-18,-1.02
4000000,89-08-14,New Westminster,BC,CAN,CAN,73,190,2007,1,3,R,Turris,Kyle,C,OTT,78,27,28,21,7,55,-3,-4.5,47,1902,91261,1519.7,19.5,19.49,33.1,72.4,9,0.924,1014,3,2.29,56.7,18,0.71
925000,97-07-19,Grosse Pointe,MI,USA,USA,74,218,2015,1,8,L,Werenski,Zach,D,CBJ,78,11,36,15,21,47,17,10.7,14,2069,97864,1624.5,20.92,20.88,35.7,48,10.5,0.923,1028,3.62,1.92,65.3,46,1.7
600000,93-02-22,Langley,BC,CAN,CAN,74,214,2011,1,18,R,McNeill,Mark,C/RW,DAL,1,0,0,0,0,0,-1,-0.2,0,17,829,13.8,13.82,13.81,23.5,0,0,0.833,833,0,4.34,0,-1,-4.34
10000000,89-08-15,Kladno,,CZE,CZE,74,214,2007,1,7,L,Voracek,Jakub,RW,PHI,82,20,41,26,15,61,-24,-0.8,56,1995,93911,1556.6,19.07,19.05,33,68.5,8.9,0.894,983,3.43,2.81,54.9,16,0.62
925000,97-01-02,Orebro,,SWE,SWE,76,191,2015,1,29,L,Carlsson,Gabriel,D,CBJ,2,0,1,0,1,1,-2,0.3,0,46,2055,34.3,17.13,17.13,33.5,50,10,0.692,792,3.5,7.01,33.3,-2,-3.5
3000000,83-12-19,Mississauga,ON,CAN,CAN,73,195,2002,2,57,L,Stajan,Matt,C,CGY,81,6,17,10,7,23,3,-0.9,40,1473,61631,1026.7,12.68,12.68,22.8,76.7,8,0.902,982,1.75,2.81,38.5,-18,-1.05
832500,94-10-13,Calgary,AB,CAN,CAN,70,181,2013,1,24,L,Shinkaruk,Hunter,C/LW,CGY,7,0,1,0,1,1,-3,-0.7,2,96,4445,74.1,10.58,10.58,20.9,100,3.2,0.886,918,0.81,3.24,20,-3,-2.43
925000,94-01-21,TRENTON,MI,USA,USA,71,171,,,,L,Molino,Griffen,C,VAN,5,0,0,0,0,0,-2,-1.3,0,75,3176,52.9,10.58,10.59,19.8,0,0,0.938,938,0,2.27,0,-2,-2.27
900000,89-05-09,Consort,AB,CAN,CAN,73,200,2007,1,21,R,Nash,Riley,C/RW,BOS,81,7,10,8,2,17,-1,4.9,14,1584,67094,1115.5,13.73,13.77,24.8,68,5.3,0.912,965,1.34,2.42,35.7,-20,-1.08
750000,91-07-24,Middletown,NJ,USA,USA,74,188,,,,R,van Riemsdyk,Trevor,D,CHI,58,5,11,5,6,16,17,6.3,29,1392,64062,1067,18.42,18.41,32.7,30.2,10.2,0.922,1024,2.98,2.31,56.4,12,0.67
832500,95-02-09,Klagenfurt,,AUT,SWE,75,205,2013,1,23,L,Burakovsky,Andre,LW/C,WSH,64,12,23,9,14,35,13,0,14,1054,50931,848,13.27,13.26,24.9,79.5,9.3,0.937,1030,3.11,1.63,65.7,21,1.49
925000,94-09-19,Eau Claire,WI,USA,USA,72,200,,,,L,Kapla,Michael,D,N.J,5,0,0,0,0,0,-1,-0.4,0,109,5232,87.2,17.43,17.44,30.9,0,4.4,0.917,961,1.38,2.75,33.3,-2,-1.38
1250000,84-06-26,Binscarth,MB,CAN,CAN,74,210,,,,L,McLeod,Cody,LW/RW,COL/NSH,59,5,1,0,1,6,-3,-5.6,145,662,25366,422.3,7.17,7.16,15.2,60,7.1,0.94,1012,1.42,1.85,43.5,-3,-0.43
625000,93-03-12,Burnaby,BC,CAN,CAN,74,207,2011,2,57,L,Wotherspoon,Tyler,D,CGY,4,0,0,0,0,0,-2,1,0,62,2616,43.6,10.9,10.9,24.1,0,0,0.889,889,0,2.75,0,-2,-2.75
900000,80-11-11,Toronto,ON,CAN,CAN,72,190,1999,3,94,L,Kelly,Chris,C/LW,OTT,82,5,7,6,1,12,-17,-3.5,23,1445,58740,978.7,11.93,11.94,22.1,80,4.3,0.915,958,0.92,2.82,24.6,-31,-1.9
5000000,89-06-13,St. Paul,MN,USA,USA,73,216,2007,1,12,L,McDonagh,Ryan,D,NYR,77,6,36,22,14,42,20,4.6,37,2275,112530,1870.2,24.35,24.33,40.5,43.8,9.6,0.918,1014,3.08,2.44,55.8,20,0.64
4500000,91-02-01,Smithtown,NY,USA,USA,70,185,2009,1,26,R,Palmieri,Kyle,RW/C/LW,N.J,80,26,27,13,14,53,2,-6,46,1768,83275,1361.4,17.35,17.24,29.5,70.7,10.9,0.928,1036,3.31,2.07,61.5,28,1.23
2900000,91-05-09,Carp,ON,CAN,CAN,73,197,2009,1,12,L,de Haan,Calvin,D,NYI,82,5,20,11,9,25,15,9.2,36,1866,97653,1622.8,19.85,19.83,34,33.3,9.9,0.91,1010,2.77,2.66,51,3,0.11
575000,88-11-30,Methuen,MA,USA,USA,73,200,,,,R,Thompson,Paul,RW,FLA,21,0,3,1,2,3,-4,-5,22,255,9954,165.9,7.9,7.9,16.3,75,6.2,0.927,989,1.45,2.89,33.3,-4,-1.45
640000,93-01-07,Orangeville,ON,CAN,CAN,73,184,,,,R,Mitchell,Zack,RW,MIN,11,0,0,0,0,0,-1,-0.6,0,136,5561,92.6,8.43,8.43,17.1,0,0,0.976,976,0,0.65,0,-1,-0.65
5000000,77-03-18,Trencin,,SVK,SVK,81,250,1996,3,56,L,Chara,Zdeno,D,BOS,75,9,19,11,9,29,18,11.4,59,1958,104997,1732.1,23.22,23.21,40.3,36.7,9.2,0.908,1000,2.74,2.88,48.8,-4,-0.14
5000000,82-04-18,Regina,SK,CAN,CAN,74,215,2000,1,6,L,Hartnell,Scott,LW,CBJ,78,13,24,15,9,37,14,6.6,63,1361,56450,940.3,12.07,12.06,22.4,77.1,9.4,0.928,1022,3.06,1.79,63.2,20,1.28
575000,87-11-21,Camrose,AB,CAN,CAN,71,180,,,,L,Stollery,Karl,D,N.J,11,0,3,0,3,3,-5,0.8,13,245,11166,186.1,16.92,16.92,29.8,37.5,8.8,0.867,955,2.58,3.22,44.4,-2,-0.64
3100000,87-06-14,Toronto,ON,CAN,CAN,70,184,2005,1,25,L,Cogliano,Andrew,LW/C/RW,ANA,82,16,19,10,9,35,11,10.6,26,1883,74479,1240.8,15.13,15.13,27.3,72.9,7.2,0.928,1001,2.32,2.18,51.6,3,0.15
8000000,88-06-07,Vancouver,BC,CAN,CAN,75,236,2006,2,50,L,Lucic,Milan,LW,EDM,82,23,27,19,8,50,-3,0.9,50,1769,84435,1403.1,17.17,17.15,30.4,58.1,10.4,0.918,1021,3.68,2.1,63.7,37,1.58
6000000,89-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,L,Couture,Logan,C/LW,S.J,73,25,27,21,6,52,11,2.3,12,1780,77114,1283.3,17.63,17.61,29.7,72.2,10.2,0.921,1023,3.37,2.1,61.5,27,1.26
925000,97-07-26,Rauma,,FIN,FIN,71,172,2015,2,35,L,Aho,Sebastian,RW/LW,CAR,82,24,25,12,13,49,-1,5.1,26,1814,82591,1357.5,16.78,16.71,29.4,69,9.4,0.911,1005,3.14,2.21,58.7,21,0.93
3500000,92-09-08,Chur,,CHE,CHE,74,211,2010,1,5,L,Niederreiter,Nino,RW,MIN,82,25,32,25,7,57,17,14.3,53,1617,74153,1234,15.07,15.06,27.3,68.7,11.6,0.916,1031,4.04,1.94,67.5,43,2.09
575000,92-05-31,Shawinigan,QC,CAN,CAN,71,198,2010,3,71,L,Bournival,Michael,LW,T.B,19,2,1,0,1,3,-3,0.7,2,287,11568,192.6,10.15,10.14,20.5,100,3.2,0.927,958,0.93,1.87,33.3,-3,-0.93
6000000,91-08-02,Vancouver,BC,CAN,CAN,74,211,2009,1,4,L,Kane,Evander,LW,BUF,70,28,15,8,7,43,-17,0.4,113,1574,80648,1338.6,19.2,19.17,32.1,75.4,7.9,0.912,991,2.55,2.96,46.3,-9,-0.4
3000000,94-01-20,Helsingborg,,SWE,SWE,75,205,2012,1,6,L,Lindholm,Hampus,D,ANA,66,6,14,5,9,20,13,17.8,36,1786,88900,1476.8,22.45,22.42,37.5,32.3,8.3,0.926,1009,2.52,1.95,56.4,14,0.57
725000,93-03-28,Chelyabinsk,,RUS,RUS,71,191,2011,5,148,L,Nesterov,Nikita,D,MTL/T.B,48,4,13,9,4,17,0,-3.4,24,959,46901,780.5,16.28,16.28,29.9,53.1,8.2,0.922,1004,2.46,2.15,53.3,4,0.31
667500,95-02-24,Sudbury,ON,CAN,CAN,72,198,2013,2,58,L,Bertuzzi,Tyler,LW,DET,7,0,0,0,0,0,-1,-0.5,0,90,3825,63.8,9.1,9.1,18.7,0,4.8,0.931,979,0.94,1.88,33.3,-1,-0.94
4250000,89-11-29,Edmonton,AB,CAN,CAN,69,164,2008,6,156,R,Spurgeon,Jared,D,MIN,76,10,28,16,12,38,33,18.6,20,2084,109591,1814.4,24.03,23.98,40.1,38.8,10.2,0.924,1027,3.24,2.22,59.4,31,1.03
600000,93-02-25,Cesk_ Budejovice,,CZE,CZE,72,203,2011,6,158,L,Sedlak,Lukas,C/LW,CBJ,62,7,6,3,3,13,10,3.2,25,893,36170,602.1,9.72,9.72,18.9,48.1,9.5,0.925,1020,2.69,2.09,56.3,6,0.6
925000,94-06-20,Pickering,ON,CAN,CAN,70,185,,,,L,Caggiula,Drake,LW/C,EDM,60,7,11,6,5,18,3,-2.6,16,1091,47647,793.9,13.23,13.23,23.4,54.5,8.2,0.935,1017,2.49,1.66,60,11,0.83
800000,82-08-19,Summerside,PE,CAN,CAN,72,193,2000,1,25,L,Ott,Steve,C/LW,DET/MTL,53,3,4,2,2,7,-8,-6.6,80,844,34229,570.3,10.77,10.76,19.7,77.8,4.4,0.934,978,0.95,2.21,30,-12,-1.26
10000000,85-09-17,Moscow,,RUS,RUS,75,239,2004,1,1,R,Ovechkin,Alex,LW/RW,WSH,82,33,36,20,16,69,6,1.5,50,1737,90361,1501,18.37,18.35,32.3,65.1,11.3,0.912,1025,4.24,2.28,65,49,1.96
700000,86-09-30,Toronto,ON,CAN,CAN,72,193,2005,5,150,L,O'Reilly,Cal,C,BUF,11,0,1,1,0,1,-6,-1.2,0,114,5235,87.2,7.93,7.93,15.3,50,6.1,0.841,902,1.38,4.81,22.2,-5,-3.44
5000000,87-01-21,St. Andrews,MB,CAN,CAN,72,196,2005,5,132,L,Helm,Darren,C,DET,50,8,9,3,6,17,-6,-3.3,20,1089,46108,756.3,15.35,15.28,26.9,53.1,9.3,0.903,996,2.54,3.17,44.4,-8,-0.63
840000,93-07-20,Belleville,ON,CAN,CAN,70,188,2011,3,68,L,Cousins,Nick,C/LW,PHI,60,6,10,5,5,16,-6,2,31,1006,43204,720.1,12,12,22.9,76.2,5.4,0.921,975,1.75,2.08,45.7,-4,-0.33
600000,88-08-24,Maple Ridge,BC,CAN,CAN,69,187,,,,L,Hunt,Brad,D,NSH/STL,12,1,5,2,3,6,-1,-1.5,2,255,10441,174,14.5,14.5,27.6,50,15.6,0.901,1057,4.14,3.1,57.1,3,1.03
925000,93-04-20,Pembroke Pines,FL,USA,USA,71,180,2012,3,78,L,Gostisbehere,Shayne,D,PHI,76,7,32,17,15,39,-21,4.9,32,1854,89350,1477.6,19.58,19.54,34.2,48.8,8.2,0.909,992,3.25,2.31,58.4,23,0.93
660000,92-10-05,Glace Bay,NS,CAN,CAN,75,202,2011,3,76,R,Shaw,Logan,C/RW,ANA,55,3,7,4,3,10,3,-1.4,10,848,32040,533.5,9.7,9.7,18.1,55.6,9.2,0.93,1021,2.02,2.14,48.6,-1,-0.11
2075000,91-12-07,St. Catharines,ON,CAN,CAN,75,226,2010,1,21,L,Sheahan,Riley,C,DET,80,2,11,5,6,13,-29,-6.2,14,1575,67064,1101.9,13.98,13.91,24.7,41.9,6.4,0.902,966,1.69,2.99,36,-24,-1.31
7000000,85-12-27,Quebec City,QC,CAN,USA,72,202,2005,2,44,L,Stastny,Paul,C,STL,66,18,22,16,6,40,4,1.2,36,1747,75793,1261.4,19.13,19.13,32.3,58,10.9,0.909,1018,3.28,2.43,57.5,18,0.86
5800000,86-08-31,Plymouth,MN,USA,USA,77,225,2004,1,5,R,Wheeler,Blake,RW,WPG,82,26,48,33,15,74,6,16.1,47,2150,99099,1616.7,20.15,20,33.8,74.7,10.3,0.89,993,3.67,2.97,55.3,19,0.71
1150000,94-01-05,Riga,,LVA,LVA,74,200,2012,1,14,L,Girgensons,Zemgus,C/LW,BUF,75,7,9,8,1,16,-7,-0.5,18,1366,59218,986.5,13.17,13.16,23.8,72.7,5.4,0.918,971,1.34,2.86,31.9,-25,-1.52
925000,96-07-30,Waterford,MI,USA,USA,73,190,2014,1,15,L,Larkin,Dylan,C/LW,DET,80,17,15,7,8,32,-28,-2.9,37,1715,77534,1273.8,16.15,16.08,28.3,69.6,7,0.89,960,2.17,3.06,41.4,-19,-0.89
925000,92-09-06,Grand Forks,ND,USA,USA,74,201,2012,6,181,R,Ladue,Paul,D,L.A,22,0,8,2,6,8,-5,0.7,4,472,20335,338.8,15.4,15.4,27.8,50,8.8,0.874,962,2.83,3.01,48.5,-1,-0.18
5500000,81-01-12,Stockholm,,SWE,SWE,72,194,2000,1,29,L,Kronwall,Niklas,D,DET,57,2,11,5,6,13,-7,2.8,32,1466,66530,1106.8,19.45,19.44,32.8,28.3,8,0.914,994,2.49,2.55,49.5,-1,-0.05
2800000,93-11-12,Praha,,CZE,CZE,74,215,2012,1,17,L,Hertl,Tomas,C/RW,S.J,49,10,12,7,5,22,-8,6.4,14,1170,50638,844,17.22,17.22,29.4,68.8,7.3,0.89,963,2.27,2.84,44.4,-8,-0.57
4350000,85-10-30,Milwaukee,WI,USA,USA,74,214,2004,1,13,R,Stafford,Drew,RW/LW,BOS/WPG,58,8,13,9,4,21,6,-2.3,24,1063,47331,786.4,13.55,13.57,25.7,55.3,9.6,0.938,1035,2.9,1.83,61.3,14,1.07
925000,95-08-05,Anaheim,CA,USA,USA,75,217,2013,2,31,L,McCoshen,Ian,D,FLA,3,0,1,0,1,1,0,-0.4,0,52,2386,40.1,13.25,13.3,26.7,100,6.7,0.944,1011,1.49,1.49,50,0,0
3275000,80-12-02,North York,ON,CAN,CAN,73,225,,,,R,Ward,Joel,RW/C,S.J,78,10,19,8,11,29,-2,-2,30,1745,74613,1235.1,15.83,15.87,27.7,65.9,8,0.916,996,2.14,2.33,47.8,-4,-0.19
1200000,87-10-30,Toronto,ON,CAN,CAN,74,239,2006,1,18,R,Stewart,Chris,RW/LW,MIN,79,13,8,4,4,21,3,-10.6,94,1129,49244,819.9,10.38,10.38,20.1,80.8,8.6,0.953,1040,1.9,1.54,55.3,5,0.37
1300000,81-06-11,Sudbury,ON,CAN,CAN,71,181,1999,5,128,L,MacKenzie,Derek,C/LW,FLA,82,6,10,7,3,16,-7,-10.6,50,1559,61819,1029.4,12.57,12.56,22.6,61.5,6.4,0.924,988,1.52,2.74,35.6,-21,-1.22
1300000,92-01-02,Moscow,,RUS,RUS,75,210,2011,7,205,R,Marchenko,Alexey,D,DET/TOR,41,1,7,1,6,8,7,-2.2,12,964,41700,693.8,16.95,16.94,30.8,32,8.2,0.931,1013,2.16,2.33,48.1,-2,-0.17
650000,81-12-10,Lac La Biche,AB,CAN,CAN,74,217,,,,L,Bourque,Rene,RW/LW,COL,65,12,6,3,3,18,-19,-9.4,56,1229,54382,904.6,13.95,13.94,26.1,60,6.6,0.897,963,1.99,3.05,39.5,-16,-1.06
5000000,93-03-15,Kitchener,ON,CAN,CAN,75,207,2011,1,7,R,Scheifele,Mark,C,WPG,79,32,50,26,24,82,18,8.8,38,1969,97447,1593.1,20.57,20.43,35.1,72.6,12.6,0.894,1020,4.26,3.01,58.5,33,1.24
692500,91-11-28,Plano,TX,USA,USA,71,200,2011,3,75,L,Coleman,Blake,C/LW,N.J,23,1,1,1,0,2,-7,-4,27,398,17728,281.2,12.85,12.64,22.9,100,2,0.881,900,0.43,3.84,10,-16,-3.41
832500,95-03-21,Winterthur,,CHE,CHE,75,210,2013,1,18,L,Mueller,Mirco,D,S.J,4,1,1,0,1,2,2,-0.1,0,56,2302,37.2,9.3,9.4,22.3,66.7,17.6,0.944,1121,4.84,1.61,75,2,3.23
775000,87-04-27,Thunder Bay,ON,CAN,USA,72,191,2005,2,36,L,Chorney,Taylor,D,WSH,18,1,4,1,3,5,8,-0.6,11,346,15405,256.6,14.27,14.26,26.9,38.5,11.2,0.952,1064,3.04,1.64,65,6,1.4
4250000,90-12-18,Ornskoldsvik,,SWE,SWE,78,223,2009,1,2,L,Hedman,Victor,D,T.B,79,16,56,34,22,72,3,-3.4,47,2201,116175,1923.8,24.5,24.45,40.8,61.5,11.8,0.913,1031,3.65,2.43,60,39,1.22
925000,95-03-07,Bronxville,NY,USA,USA,74,207,2013,2,42,R,Santini,Steven,D,N.J,38,2,5,2,3,7,-6,0.1,14,854,36670,593.2,16.1,15.93,29.2,41.2,6.8,0.915,983,1.72,2.63,39.5,-9,-0.91
925000,94-01-11,Lewisville,TX,USA,USA,74,191,2012,2,36,L,Kerdiles,Nicolas,LW,ANA,1,0,0,0,0,0,1,-0.1,0,17,668,11.1,11.13,11.13,23.1,0,40,0.857,1257,10.78,5.39,66.7,1,5.39
1000000,83-11-29,Regina,SK,CAN,CAN,73,213,2003,9,265,L,Glass,Tanner,LW,NYR,11,1,1,0,1,2,0,-1.3,17,187,7201,120.5,10.92,10.93,21,100,4.5,0.948,994,1,1.49,40,-1,-0.5
692500,94-06-01,Pickering,ON,CAN,CAN,74,205,,,,L,Renouf,Dan,D,DET,1,0,0,0,0,0,0,0.6,0,18,815,,13.58,9.06,,0,,,,,,0,0,
900000,92-10-29,Sault Ste. Marie,ON,CAN,CAN,73,196,2012,5,151,R,Miller,Colin,D,BOS,61,6,7,4,3,13,0,13.5,55,1296,57886,964.1,15.73,15.78,28.6,38.2,6.1,0.909,970,2.12,1.87,53.1,4,0.25
575000,93-05-26,Innisfil,ON,CAN,CAN,74,205,2011,3,86,R,Leivo,Josh,LW,TOR,13,2,8,6,2,10,2,3,4,246,9808,163.3,12.57,12.57,22.9,90.9,9.6,0.912,1008,4.04,2.2,64.7,5,1.84
667500,94-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,L,Guentzel,Jake,C/LW,PIT,40,16,17,14,3,33,7,5.6,10,820,38126,633.5,15.88,15.87,29.2,71.7,11.6,0.907,1023,4.36,2.94,59.7,15,1.42
4000000,90-03-07,Detroit,MI,USA,USA,75,192,,,,L,DeKeyser,Danny,D,DET,82,4,8,6,2,12,-22,-0.2,33,2344,107976,1773.5,21.93,21.84,37.1,21.8,7.7,0.89,968,1.86,3.32,35.9,-43,-1.45
650000,93-02-05,Calgary,AB,CAN,CAN,72,195,2011,2,32,R,Rattie,Ty,RW,CAR/STL,9,0,2,2,0,2,-2,-1.5,0,139,5799,96.6,10.73,10.74,21.2,100,4.2,0.917,958,1.24,2.48,33.3,-2,-1.24
1200000,92-03-03,Edmonton,AB,CAN,CAN,76,206,2010,2,36,R,Petrovic,Alex,D,FLA,49,1,13,5,8,14,-1,-1.9,79,1055,53361,885.7,18.15,18.13,32.9,40,7.9,0.919,998,2.37,2.57,47.9,-3,-0.2
667500,92-03-06,Kingsford,MI,USA,USA,76,212,2010,5,148,L,Gravel,Kevin,D,L.A,49,1,6,3,3,7,3,4.2,6,997,41602,692.9,14.15,14.15,25.8,30.4,6.5,0.928,993,1.99,1.65,54.8,4,0.35
667500,97-07-29,Edmonton,AB,CAN,CAN,73,186,2015,2,51,L,Guhle,Brendan,D,BUF,3,0,0,0,0,0,1,0.1,0,71,2943,49.1,16.35,16.35,31.2,0,8.3,0.967,1050,2.45,1.22,66.7,1,1.22
6000000,83-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,L,Keith,Duncan,D,CHI,80,6,47,19,28,53,22,-0.9,16,2379,122960,2032.9,25.62,25.55,42.3,51.5,9.6,0.921,1017,3.04,2.45,55.4,20,0.59
925000,96-07-22,St. Gallen,,CHE,CHE,70,193,2014,1,11,L,Fiala,Kevin,LW,NSH,54,11,5,3,2,16,1,6.6,18,1016,43780,729,13.52,13.51,25.2,69.6,5.5,0.935,991,1.89,1.65,53.5,3,0.25
600000,86-12-29,Spokane,WA,USA,USA,71,170,,,,R,Ryan,Derek,C,CAR,67,11,18,9,9,29,-8,-2,22,1369,59864,978.2,14.88,14.79,25.8,70.7,8.3,0.908,991,2.51,2.33,51.9,3,0.18
800000,87-02-14,Thunder Bay,ON,CAN,CAN,71,185,2005,4,107,L,Pyatt,Tom,LW/C,OTT,82,9,14,9,5,23,9,-1.2,16,1826,76887,1277.6,15.63,15.61,27.3,62.2,7.3,0.927,1000,1.74,2.3,43,-12,-0.56
4500000,92-05-06,Edmonton,AB,CAN,CAN,69,182,2010,5,147,R,Gallagher,Brendan,RW,MTL,64,10,19,11,8,29,7,9.7,39,1353,57965,966.1,15.1,15.1,26.8,59.2,8.2,0.939,1021,3.04,1.55,66.2,24,1.49
925000,95-03-10,St. Clair,MI,USA,USA,69,188,2013,4,121,L,Motte,Tyler,LW/C,CHI,33,4,3,3,0,7,2,-2.6,14,579,22546,375.8,11.38,11.39,21.2,63.6,8,0.922,1002,1.76,2.71,39.3,-6,-0.96
900000,98-07-29,Chesterfield,MO,USA,USA,70,168,2016,1,7,L,Keller,Clayton,C/LW,ARI,3,0,2,1,1,2,-3,-1.3,0,51,2280,38,12.67,12.67,23.4,100,25,0.826,1076,3.16,6.31,33.3,-2,-3.16
675000,90-04-23,Minneapolis,MN,USA,USA,74,205,,,,R,Tennyson,Matt,D,CAR,45,0,6,5,1,6,-13,-5.6,6,826,35874,596.2,13.28,13.27,24.5,28.6,7.9,0.891,971,2.11,3.42,38.2,-13,-1.31
6000000,92-05-16,Toronto,ON,CAN,CAN,71,200,2010,1,7,L,Skinner,Jeff,LW/C/RW,CAR,79,37,26,19,7,63,-3,4.9,28,1724,84081,1376.9,17.73,17.63,31,77.8,10.1,0.896,997,3.53,2.88,55.1,15,0.65
600000,87-02-13,Coquitlam,BC,CAN,CAN,71,199,,,,L,Street,Ben,C,DET,6,0,1,1,0,1,1,1.1,0,77,2970,49.5,8.25,8.25,15.6,100,3.2,1,1032,1.21,0,100,1,1.21
1000000,86-07-28,Turku,,FIN,FIN,73,193,2004,1,19,L,Korpikoski,Lauri,LW/RW,CBJ/DAL,69,8,12,9,3,20,5,-5,10,1324,51364,854.4,12.4,12.4,22.8,62.5,8.4,0.925,1009,2.25,2.53,47.1,-4,-0.28
4000000,77-12-11,Bern,,CHE,CHE,71,191,2004,9,262,L,Streit,Mark,D,PHI/PIT,68,6,21,6,15,27,-12,3.1,28,1691,76492,1272.5,18.72,18.73,32.5,49.1,7.5,0.921,995,2.59,2.17,54.5,9,0.42
792500,94-01-30,Berlin,,DEU,USA,69,180,2012,5,138,R,O'Regan,Daniel,C/LW,S.J,3,1,0,0,0,1,-2,-0.8,0,46,2079,28,9.32,10.07,20.4,100,8.3,0.882,966,2.14,4.29,33.3,-1,-2.14
1700000,91-09-25,G_vle,,SWE,SWE,71,186,2010,2,51,R,Jarnkrok,Calle,C,NSH,81,15,16,7,9,31,-1,6.1,25,1878,76428,1271.4,15.72,15.71,26.9,60.8,9,0.914,1004,2.41,2.5,49,-2,-0.09
600000,88-01-04,Waltham,MA,USA,USA,73,206,2006,3,65,L,Strait,Brian,D,WPG,5,0,2,2,0,2,-1,-0.5,0,113,4779,79.1,15.93,15.9,29.7,50,14.3,0.917,1060,3.03,2.27,57.1,1,0.76
4000000,91-12-05,Windsor,ON,CAN,USA,73,207,2010,1,12,L,Fowler,Cam,D,ANA,80,11,28,12,16,39,7,5.4,20,2258,119271,1973.8,24.85,24.79,41.1,39.4,9.9,0.919,1018,3.01,2.4,55.6,20,0.61
3667000,88-08-23,Sodertalje,,SWE,SWE,71,186,2007,6,168,L,Hagelin,Carl,LW,PIT,61,6,16,8,8,22,10,7.1,16,1334,56693,942.9,15.48,15.48,28.6,56.4,7.9,0.914,993,2.48,2.74,47.6,-4,-0.25
832500,95-03-28,Ste-Agathe,QC,CAN,CAN,71,188,2013,1,3,L,Drouin,Jonathan,LW,T.B,73,21,32,17,15,53,-13,-1.5,16,1538,77555,1289.5,17.7,17.69,32,71.6,10.3,0.909,1012,3.44,2.33,59.7,24,1.12
3000000,93-07-20,Karlstad,,SWE,SWE,75,220,2011,1,19,L,Klefbom,Oscar,D,EDM,82,12,26,15,11,38,7,7.3,6,2197,110061,1823.1,22.37,22.32,37.1,35.8,10.8,0.906,1014,3.49,2.67,56.7,25,0.82
5400000,94-10-03,Arlington,TX,USA,USA,76,220,2013,1,4,R,Jones,Seth,D,CBJ,75,12,30,13,17,42,6,6.9,24,2247,105315,1749,23.4,23.37,38.9,56,8.6,0.908,994,2.57,2.57,50,0,0
